level_total,M,K,N
14,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
,1024,1024,1024
