level_total,IX,IY,FW,FH,C_channel,K_channel,Batchsize,Stride,Padding
1,193,5,5,3,2,8,2,2,valid
,15,15,3,3,192,384,8,1,valid
,,,,,,,,,
5,227,227,11,11,3,96,1,4,valid
,31,31,5,5,48,256,2,1,valid
,15,15,3,3,256,384,2,1,valid
,15,15,3,3,192,384,4,1,valid
,15,15,3,3,192,384,8,1,valid
,,,,,,,,,
,7,7,5,5,2,17,2,2,valid
,7,7,5,5,2,17,2,2,valid
,7,7,5,5,2,17,2,2,valid
,7,7,5,5,2,8,2,2,valid
,7,7,5,5,2,9,2,2,valid
,7,7,5,5,2,12,2,2,valid
,7,7,5,5,2,18,2,2,valid
,7,7,5,5,2,8,2,2,valid
,7,7,5,5,2,16,2,2,valid
,7,7,5,5,2,18,2,2,valid
,7,7,5,5,2,23,2,2,valid
,7,5,3,3,2,8,2,2,valid
,7,5,3,3,2,12,2,2,valid
,7,5,3,3,2,15,2,2,valid
,7,5,3,3,2,23,2,2,valid
,7,5,3,3,2,8,2,2,valid
,7,5,3,3,2,10,2,2,valid
,7,5,3,3,2,18,2,2,valid
,7,5,3,3,2,25,2,2,valid
,9,7,5,5,2,8,2,2,valid
,9,7,5,5,2,9,2,2,valid
,9,7,5,5,2,18,2,2,valid
,9,7,5,5,2,19,2,2,valid
,9,7,5,5,2,6,2,2,valid
,9,7,5,5,2,9,2,2,valid
,9,7,5,5,2,14,2,2,valid
,9,7,5,5,2,19,2,2,valid
,12,5,3,3,2,8,2,2,valid
,12,5,3,3,2,12,2,2,valid
,12,5,3,3,2,19,2,2,valid
,12,5,3,3,2,19,2,2,valid
,12,5,3,3,2,8,2,2,valid
,12,5,3,3,2,9,2,2,valid
,12,5,3,3,2,21,2,2,valid
,12,5,3,3,2,21,2,2,valid
,12,5,3,3,2,8,2,2,valid
,12,5,3,3,2,12,2,2,valid
,12,5,3,3,2,17,2,2,valid
,12,5,3,3,2,19,2,2,valid
,12,5,3,3,2,8,2,2,valid
,12,5,3,3,2,12,2,2,valid
,12,5,3,3,2,21,2,2,valid
,12,5,3,3,2,21,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,13,2,2,valid
,15,5,3,3,2,19,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,13,2,2,valid
,15,5,3,3,2,19,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,13,2,2,valid
,15,5,3,3,2,19,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,8,2,2,valid
,15,5,3,3,2,13,2,2,valid
,15,5,3,3,2,20,2,2,valid
