m,k,n,dataflow,loops
32,32,32,is,nkm
32,32,32,is,nmk
32,32,32,is,kmn
32,32,32,is,knm
32,32,32,is,mnk
32,32,32,is,mkn
32,32,32,ws,nkm
32,32,32,ws,nmk
32,32,32,ws,kmn
32,32,32,ws,knm
32,32,32,ws,mnk
32,32,32,ws,mkn
32,32,32,os,nkm
32,32,32,os,nmk
32,32,32,os,kmn
32,32,32,os,knm
32,32,32,os,mnk
32,32,32,os,mkn
32,32,64,is,nkm
32,32,64,is,nmk
32,32,64,is,kmn
32,32,64,is,knm
32,32,64,is,mnk
32,32,64,is,mkn
32,32,64,ws,nkm
32,32,64,ws,nmk
32,32,64,ws,kmn
32,32,64,ws,knm
32,32,64,ws,mnk
32,32,64,ws,mkn
32,32,64,os,nkm
32,32,64,os,nmk
32,32,64,os,kmn
32,32,64,os,knm
32,32,64,os,mnk
32,32,64,os,mkn
32,64,32,is,nkm
32,64,32,is,nmk
32,64,32,is,kmn
32,64,32,is,knm
32,64,32,is,mnk
32,64,32,is,mkn
32,64,32,ws,nkm
32,64,32,ws,nmk
32,64,32,ws,kmn
32,64,32,ws,knm
32,64,32,ws,mnk
32,64,32,ws,mkn
32,64,32,os,nkm
32,64,32,os,nmk
32,64,32,os,kmn
32,64,32,os,knm
32,64,32,os,mnk
32,64,32,os,mkn
32,64,64,is,nkm
32,64,64,is,nmk
32,64,64,is,kmn
32,64,64,is,knm
32,64,64,is,mnk
32,64,64,is,mkn
32,64,64,ws,nkm
32,64,64,ws,nmk
32,64,64,ws,kmn
32,64,64,ws,knm
32,64,64,ws,mnk
32,64,64,ws,mkn
32,64,64,os,nkm
32,64,64,os,nmk
32,64,64,os,kmn
32,64,64,os,knm
32,64,64,os,mnk
32,64,64,os,mkn
64,32,32,is,nkm
64,32,32,is,nmk
64,32,32,is,kmn
64,32,32,is,knm
64,32,32,is,mnk
64,32,32,is,mkn
64,32,32,ws,nkm
64,32,32,ws,nmk
64,32,32,ws,kmn
64,32,32,ws,knm
64,32,32,ws,mnk
64,32,32,ws,mkn
64,32,32,os,nkm
64,32,32,os,nmk
64,32,32,os,kmn
64,32,32,os,knm
64,32,32,os,mnk
64,32,32,os,mkn
64,32,64,is,nkm
64,32,64,is,nmk
64,32,64,is,kmn
64,32,64,is,knm
64,32,64,is,mnk
64,32,64,is,mkn
64,32,64,ws,nkm
64,32,64,ws,nmk
64,32,64,ws,kmn
64,32,64,ws,knm
64,32,64,ws,mnk
64,32,64,ws,mkn
64,32,64,os,nkm
64,32,64,os,nmk
64,32,64,os,kmn
64,32,64,os,knm
64,32,64,os,mnk
64,32,64,os,mkn
64,64,32,is,nkm
64,64,32,is,nmk
64,64,32,is,kmn
64,64,32,is,knm
64,64,32,is,mnk
64,64,32,is,mkn
64,64,32,ws,nkm
64,64,32,ws,nmk
64,64,32,ws,kmn
64,64,32,ws,knm
64,64,32,ws,mnk
64,64,32,ws,mkn
64,64,32,os,nkm
64,64,32,os,nmk
64,64,32,os,kmn
64,64,32,os,knm
64,64,32,os,mnk
64,64,32,os,mkn
64,64,64,is,nkm
64,64,64,is,nmk
64,64,64,is,kmn
64,64,64,is,knm
64,64,64,is,mnk
64,64,64,is,mkn
64,64,64,ws,nkm
64,64,64,ws,nmk
64,64,64,ws,kmn
64,64,64,ws,knm
64,64,64,ws,mnk
64,64,64,ws,mkn
64,64,64,os,nkm
64,64,64,os,nmk
64,64,64,os,kmn
64,64,64,os,knm
64,64,64,os,mnk
64,64,64,os,mkn
