config_folder,simulation_time
data/output/array128x128_sram2048KB_bw64B_M1024_K1024_N1024,615.98
data/output/array128x128_sram2048KB_bw64B_M2048_K2048_N2048,5807.59
data/output/array128x128_sram2048KB_bw128B_M128_K128_N128,1.87
data/output/array128x128_sram2048KB_bw128B_M256_K256_N256,16.94
data/output/array128x128_sram2048KB_bw128B_M512_K512_N512,75.27
data/output/array128x128_sram2048KB_bw128B_M1024_K1024_N1024,467.72
data/output/array128x128_sram2048KB_bw128B_M2048_K2048_N2048,3923.15
data/output/array128x128_sram2048KB_bw256B_M128_K128_N128,1.90
data/output/array128x128_sram2048KB_bw256B_M256_K256_N256,18.79
data/output/array128x128_sram2048KB_bw256B_M512_K512_N512,74.35
data/output/array128x128_sram2048KB_bw256B_M1024_K1024_N1024,438.09
data/output/array128x128_sram2048KB_bw256B_M2048_K2048_N2048,3594.99
data/output/array128x128_sram2048KB_bw512B_M128_K128_N128,1.89
data/output/array128x128_sram2048KB_bw512B_M256_K256_N256,16.83
data/output/array128x128_sram2048KB_bw512B_M512_K512_N512,72.66
data/output/array128x128_sram2048KB_bw512B_M1024_K1024_N1024,432.84
data/output/array128x128_sram2048KB_bw512B_M2048_K2048_N2048,3561.12
data/output/array128x128_sram4096KB_bw64B_M128_K128_N128,1.83
data/output/array128x128_sram4096KB_bw64B_M256_K256_N256,17.16
data/output/array128x128_sram4096KB_bw64B_M512_K512_N512,83.45
data/output/array128x128_sram4096KB_bw64B_M1024_K1024_N1024,612.22
data/output/array128x128_sram4096KB_bw64B_M2048_K2048_N2048,6483.57
data/output/array128x128_sram4096KB_bw128B_M128_K128_N128,1.83
data/output/array128x128_sram4096KB_bw128B_M256_K256_N256,16.98
data/output/array128x128_sram4096KB_bw128B_M512_K512_N512,75.28
data/output/array128x128_sram4096KB_bw128B_M1024_K1024_N1024,468.21
data/output/array128x128_sram4096KB_bw128B_M2048_K2048_N2048,4591.70
data/output/array128x128_sram4096KB_bw256B_M128_K128_N128,1.92
data/output/array128x128_sram4096KB_bw256B_M256_K256_N256,17.14
data/output/array128x128_sram4096KB_bw256B_M512_K512_N512,73.61
data/output/array128x128_sram4096KB_bw256B_M1024_K1024_N1024,437.40
data/output/array128x128_sram4096KB_bw256B_M2048_K2048_N2048,4257.51
data/output/array128x128_sram4096KB_bw512B_M128_K128_N128,1.86
data/output/array128x128_sram4096KB_bw512B_M256_K256_N256,16.89
data/output/array128x128_sram4096KB_bw512B_M512_K512_N512,72.56
data/output/array128x128_sram4096KB_bw512B_M1024_K1024_N1024,435.85
data/output/array128x128_sram4096KB_bw512B_M2048_K2048_N2048,4226.76
data/output/array128x128_sram8192KB_bw64B_M128_K128_N128,1.89
data/output/array128x128_sram8192KB_bw64B_M256_K256_N256,17.16
data/output/array128x128_sram8192KB_bw64B_M512_K512_N512,83.21
data/output/array128x128_sram8192KB_bw64B_M1024_K1024_N1024,612.28
data/output/array128x128_sram8192KB_bw64B_M2048_K2048_N2048,6874.91
data/output/array128x128_sram8192KB_bw128B_M128_K128_N128,1.87
data/output/array128x128_sram8192KB_bw128B_M256_K256_N256,17.03
data/output/array128x128_sram8192KB_bw128B_M512_K512_N512,75.11
data/output/array128x128_sram8192KB_bw128B_M1024_K1024_N1024,467.78
data/output/array128x128_sram8192KB_bw128B_M2048_K2048_N2048,4980.48
data/output/array128x128_sram8192KB_bw256B_M128_K128_N128,1.87
data/output/array128x128_sram8192KB_bw256B_M256_K256_N256,16.98
data/output/array128x128_sram8192KB_bw256B_M512_K512_N512,73.11
data/output/array128x128_sram8192KB_bw256B_M1024_K1024_N1024,436.49
data/output/array128x128_sram8192KB_bw256B_M2048_K2048_N2048,4648.81
data/output/array128x128_sram8192KB_bw512B_M128_K128_N128,1.86
data/output/array128x128_sram8192KB_bw512B_M256_K256_N256,16.97
data/output/array128x128_sram8192KB_bw512B_M512_K512_N512,72.35
data/output/array128x128_sram8192KB_bw512B_M1024_K1024_N1024,432.80
data/output/array128x128_sram8192KB_bw512B_M2048_K2048_N2048,4614.61
