level_total,M,K,N
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
1,64,64,64
